Area,Frontage,Access_Road,Floors,Bedrooms,Bathrooms,Price,Frontage_missing,Access_Road_missing,Floors_missing,Bedrooms_missing,Bathrooms_missing,Area_per_Bedroom,Area_per_Bathroom,Frontage_Area_ratio,Legal_status_Sale contract,Legal_status_Unknown,Furniture_state_Full,Furniture_state_Unknown,Price_log
34.0,4.5,3.5,4.0,3.0,3.0,2.9,1,0,0,0,1,8.5,8.5,0.12857142857142856,False,True,True,False,1.3609765531356006
100.0,6.5,7.5,3.0,4.0,5.0,6.5,0,0,0,0,0,20.0,16.666666666666668,0.06435643564356436,False,False,False,False,2.0149030205422647
60.0,6.5,7.5,4.0,5.0,5.0,4.5,0,0,0,0,0,10.0,10.0,0.10655737704918032,False,False,False,True,1.7047480922384253
85.0,4.5,5.5,4.0,4.0,5.5,4.2,1,1,0,0,0,17.0,13.076923076923077,0.05232558139534884,False,False,False,True,1.6486586255873816
74.02,5.3,5.0,3.0,3.0,3.0,2.38,0,0,0,1,1,18.505,18.505,0.07064782724606772,False,False,True,False,1.2178757094949273
62.5,5.0,5.5,5.0,3.0,3.0,7.5,0,1,0,1,1,15.625,15.625,0.07874015748031496,False,False,False,True,2.1400661634962708
87.0,5.0,7.5,5.0,5.0,5.0,10.0,0,0,0,0,0,14.5,14.5,0.056818181818181816,False,False,False,True,2.3978952727983707
56.0,5.0,5.0,3.0,3.0,3.0,2.7,0,0,1,1,1,14.0,14.0,0.08771929824561403,False,True,False,True,1.308332819650179
90.0,4.5,5.5,3.0,3.0,3.0,5.5,1,1,1,0,1,22.5,22.5,0.04945054945054945,False,True,False,True,1.8718021769015913
58.0,4.5,5.5,3.0,3.0,3.0,4.61,1,1,1,1,1,14.5,14.5,0.07627118644067797,True,False,False,False,1.724550719534605
35.0,5.0,3.5,5.0,5.0,4.0,6.85,0,0,0,0,0,5.833333333333333,7.0,0.1388888888888889,False,False,True,False,2.060513531794317
50.4,4.5,5.0,3.0,4.0,4.0,3.75,1,0,0,0,0,10.08,10.08,0.08754863813229573,False,False,False,False,1.55814461804655
54.0,4.5,5.0,3.0,4.0,4.0,4.3,1,0,0,0,0,10.8,10.8,0.08181818181818182,False,False,True,False,1.667706820558076
57.4,4.5,5.5,3.0,3.0,2.0,4.05,1,1,0,0,0,14.35,19.133333333333333,0.07705479452054795,False,False,False,False,1.6193882432872684
56.0,3.82,3.5,5.0,5.5,5.0,6.5,0,0,0,0,0,8.615384615384615,9.333333333333334,0.06701754385964911,False,False,True,False,2.0149030205422647
