Area,Frontage,Access_Road,Floors,Bedrooms,Bathrooms,Legal_status,Furniture_state,Price,Frontage_missing,Access_Road_missing,Floors_missing,Bedrooms_missing,Bathrooms_missing,Area_per_Bedroom,Area_per_Bathroom,Frontage_Area_ratio
50.0,3.7,3.5,5.0,5.5,5.5,Have certificate,Unknown,8.9,0,0,0,0,0,7.6923076923076925,7.6923076923076925,0.07254901960784314
36.0,6.5,3.5,5.0,3.0,4.0,Have certificate,Full,5.6,0,0,0,0,0,9.0,7.2,0.17567567567567569
140.0,4.5,5.5,3.0,3.0,3.0,Unknown,Unknown,6.3,1,1,1,1,1,35.0,35.0,0.031914893617021274
140.0,4.5,5.5,2.0,3.0,3.0,Sale contract,Unknown,7.8,1,1,0,1,1,35.0,35.0,0.031914893617021274
99.4,4.0,5.5,2.0,3.0,2.0,Have certificate,Full,9.5,0,1,0,1,0,24.85,33.13333333333333,0.0398406374501992
33.0,4.5,5.5,5.0,3.0,3.0,Have certificate,Basic,4.95,1,1,0,1,1,8.25,8.25,0.1323529411764706
100.0,4.5,5.5,3.0,3.0,3.0,Unknown,Unknown,7.5,1,1,1,1,1,25.0,25.0,0.04455445544554455
34.0,4.5,3.5,4.0,3.0,3.0,Unknown,Full,2.9,1,0,0,0,1,8.5,8.5,0.12857142857142856
100.0,6.5,7.5,3.0,4.0,5.0,Have certificate,Basic,6.5,0,0,0,0,0,20.0,16.666666666666668,0.06435643564356436
60.0,6.5,7.5,4.0,5.0,5.0,Have certificate,Unknown,4.5,0,0,0,0,0,10.0,10.0,0.10655737704918032
85.0,4.5,5.5,4.0,4.0,5.5,Have certificate,Unknown,4.2,1,1,0,0,0,17.0,13.076923076923077,0.05232558139534884
74.02,5.3,5.0,3.0,3.0,3.0,Have certificate,Full,2.38,0,0,0,1,1,18.505,18.505,0.07064782724606772
62.5,5.0,5.5,5.0,3.0,3.0,Have certificate,Unknown,7.5,0,1,0,1,1,15.625,15.625,0.07874015748031496
87.0,5.0,7.5,5.0,5.0,5.0,Have certificate,Unknown,10.0,0,0,0,0,0,14.5,14.5,0.056818181818181816
56.0,5.0,5.0,3.0,3.0,3.0,Unknown,Unknown,2.7,0,0,1,1,1,14.0,14.0,0.08771929824561403
90.0,4.5,5.5,3.0,3.0,3.0,Unknown,Unknown,5.5,1,1,1,0,1,22.5,22.5,0.04945054945054945
58.0,4.5,5.5,3.0,3.0,3.0,Sale contract,Basic,4.61,1,1,1,1,1,14.5,14.5,0.07627118644067797
35.0,5.0,3.5,5.0,5.0,4.0,Have certificate,Full,6.85,0,0,0,0,0,5.833333333333333,7.0,0.1388888888888889
50.4,4.5,5.0,3.0,4.0,4.0,Have certificate,Basic,3.75,1,0,0,0,0,10.08,10.08,0.08754863813229573
54.0,4.5,5.0,3.0,4.0,4.0,Have certificate,Full,4.3,1,0,0,0,0,10.8,10.8,0.08181818181818182
57.4,4.5,5.5,3.0,3.0,2.0,Have certificate,Basic,4.05,1,1,0,0,0,14.35,19.133333333333333,0.07705479452054795
56.0,3.82,3.5,5.0,5.5,5.0,Have certificate,Full,6.5,0,0,0,0,0,8.615384615384615,9.333333333333334,0.06701754385964911
140.0,4.0,6.0,2.0,4.0,3.0,Have certificate,Full,3.2,0,0,0,0,0,28.0,35.0,0.028368794326241134
51.75,4.5,6.0,4.0,4.0,5.0,Have certificate,Unknown,9.2,0,0,0,0,0,10.35,8.625,0.08530805687203792
27.0,4.0,7.5,5.0,4.0,5.0,Have certificate,Full,7.65,0,0,0,0,0,5.4,4.5,0.14285714285714285
115.0,4.5,5.5,3.0,3.0,3.0,Unknown,Full,9.55,1,1,1,1,1,28.75,28.75,0.03879310344827586
81.0,4.5,7.5,5.0,3.0,3.0,Unknown,Unknown,9.9,1,0,0,1,1,20.25,20.25,0.054878048780487805
102.8,6.5,7.5,2.0,4.0,4.0,Unknown,Unknown,5.6,0,0,0,0,0,20.56,20.56,0.0626204238921002
48.0,4.5,5.5,3.0,3.0,3.0,Have certificate,Unknown,5.8,1,1,1,1,1,12.0,12.0,0.09183673469387756
55.0,4.5,5.0,3.0,3.0,3.0,Unknown,Unknown,6.8,0,0,1,1,1,13.75,13.75,0.08035714285714286
56.25,4.5,5.0,3.0,4.0,3.0,Have certificate,Basic,4.29,0,0,0,0,0,11.25,14.0625,0.07860262008733625
65.0,4.5,5.5,2.0,3.0,3.0,Unknown,Unknown,4.0,1,1,0,0,0,16.25,16.25,0.06818181818181818
80.0,6.5,7.5,5.0,5.0,5.5,Unknown,Unknown,6.5,0,0,0,0,0,13.333333333333334,12.307692307692308,0.08024691358024691
60.0,4.0,5.5,3.0,3.0,3.0,Sale contract,Unknown,7.0,0,1,1,1,1,15.0,15.0,0.06557377049180328
33.0,3.0,3.5,5.0,3.0,4.0,Have certificate,Full,4.48,0,0,0,0,0,8.25,6.6,0.08823529411764706
38.0,4.2,6.0,4.0,3.0,4.0,Have certificate,Full,6.78,0,0,0,0,0,9.5,7.6,0.1076923076923077
140.0,5.0,7.5,3.0,3.0,3.0,Sale contract,Unknown,4.9,0,0,1,1,1,35.0,35.0,0.03546099290780142
42.0,4.5,5.5,3.0,2.0,3.0,Have certificate,Unknown,6.5,1,1,0,0,1,14.0,10.5,0.10465116279069768
30.0,3.4,3.5,6.0,4.0,5.0,Unknown,Full,5.65,0,0,0,0,0,6.0,5.0,0.10967741935483871
78.0,6.0,7.5,5.0,3.0,3.0,Unknown,Unknown,9.8,0,0,0,1,1,19.5,19.5,0.0759493670886076
43.5,4.5,3.5,4.0,3.0,4.0,Have certificate,Basic,6.2,1,0,0,0,0,10.875,8.7,0.10112359550561797
23.9,3.5,5.5,2.0,2.0,2.0,Unknown,Unknown,4.2,0,1,0,0,0,7.966666666666666,7.966666666666666,0.14056224899598393
78.7,4.0,5.5,3.0,3.0,3.0,Have certificate,Unknown,5.5,0,1,1,1,1,19.675,19.675,0.050188205771643665
67.5,4.5,5.5,3.0,3.0,3.0,Unknown,Unknown,2.18,1,1,1,1,1,16.875,16.875,0.06569343065693431
72.0,4.0,5.0,2.0,4.0,4.0,Have certificate,Full,6.7,0,0,0,0,0,14.4,14.4,0.0547945205479452
60.0,4.5,3.5,4.0,4.0,3.0,Have certificate,Basic,2.65,1,0,0,0,0,12.0,15.0,0.07377049180327869
140.0,4.5,5.5,2.0,3.0,3.0,Unknown,Unknown,10.0,1,1,0,0,0,35.0,35.0,0.031914893617021274
36.0,4.0,3.5,5.0,4.0,4.0,Have certificate,Basic,6.0,0,0,0,0,0,7.2,7.2,0.10810810810810811
100.0,4.5,7.5,3.0,4.0,4.0,Have certificate,Full,8.49,1,0,0,0,0,20.0,20.0,0.04455445544554455
120.0,6.0,7.5,4.0,3.0,3.0,Have certificate,Unknown,5.85,0,0,0,1,1,30.0,30.0,0.049586776859504134
78.0,4.5,5.5,3.0,3.0,3.0,Have certificate,Full,5.8,1,1,0,0,0,19.5,19.5,0.056962025316455694
132.0,4.0,7.5,2.0,3.0,2.0,Unknown,Unknown,7.0,0,0,0,0,0,33.0,44.0,0.03007518796992481
102.0,4.5,3.5,1.0,2.0,1.5,Have certificate,Unknown,6.8,1,0,0,0,0,34.0,40.8,0.043689320388349516
101.0,6.5,3.5,3.0,4.0,3.0,Have certificate,Unknown,6.6,0,0,0,0,0,20.2,25.25,0.06372549019607843
81.0,6.5,7.5,1.0,1.5,1.5,Unknown,Unknown,5.8,0,0,0,0,0,32.4,32.4,0.07926829268292683
35.0,4.5,5.5,5.0,4.0,3.0,Have certificate,Unknown,3.5,1,1,0,0,0,7.0,8.75,0.125
75.0,5.0,7.5,3.0,3.0,3.0,Have certificate,Full,7.7,0,0,0,0,0,18.75,18.75,0.06578947368421052
62.0,4.5,5.5,4.0,5.5,4.0,Have certificate,Unknown,6.9,1,1,0,0,0,9.538461538461538,12.4,0.07142857142857142
